조사 순번,정류장 번호,관리번호,정류장명(카카오맵 표시명),정류장명(영어),경도,위도,현행 확인 출처,카카오맵 표시 방면,공식 노선순서 기반 진행방면,카카오맵 정류장 검색 URL,카카오 로드뷰 URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
45,2310,250026574,남춘천역2번출구,Namchuncheon Station Exit 2(i),127.72481,37.86371,TAGO·카카오맵,퇴계일성A 방면,타워푸르지오A / 퇴계일성A 방면,https://map.kakao.com/link/search/%EB%82%A8%EC%B6%98%EC%B2%9C%EC%97%AD2%EB%B2%88%EC%B6%9C%EA%B5%AC%202310%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86371,127.72481",,,,있음,,,
46,2317,250026581,남춘천역2번출구,Namchuncheon Station Exit 2(i),127.72476,37.86384,TAGO·카카오맵,남춘천역 방면,남춘천역 / 케이티앤지 방면,https://map.kakao.com/link/search/%EB%82%A8%EC%B6%98%EC%B2%9C%EC%97%AD2%EB%B2%88%EC%B6%9C%EA%B5%AC%202317%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86384,127.72476",,,,,,,
47,1372,250001373,강원생명과학고,GW Biological Science High School,127.72324,37.90903,TAGO·카카오맵,사농현대A 방면,사농현대A / 신북사거리 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EC%83%9D%EB%AA%85%EA%B3%BC%ED%95%99%EA%B3%A0%201372%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.90903,127.72324",,,,있음,,,
48,1373,250001374,강원생명과학고,GW Biological Science High School,127.72299,37.9089,TAGO·카카오맵,소양중학교 방면,소양중학교 / 농산물도매시장 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EC%83%9D%EB%AA%85%EA%B3%BC%ED%95%99%EA%B3%A0%201373%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.9089,127.72299",,,,있음,,,
49,2388,250026661,춘천고용복지센터,Chuncheon Employment Welfare Center,127.74471,37.85146,TAGO·카카오맵,퇴계주공4차 방면,퇴계주공4차 / 스무숲입구 방면,https://map.kakao.com/link/search/%EC%B6%98%EC%B2%9C%EA%B3%A0%EC%9A%A9%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0%202388%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85146,127.74471",,,,,,,
50,1270,250001095,창촌1리,Changchon 1(il)-ri,127.65051,37.78475,TAGO·카카오맵,수동1리입구 방면,수동1리입구 방면,https://map.kakao.com/link/search/%EC%B0%BD%EC%B4%8C1%EB%A6%AC%201270%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78475,127.65051",,,,,,,
51,1500,250001769,가정리종점,Gajeong-ri Terminus,127.57735,37.76332,TAGO·카카오맵,가정3리 방면,가정3리 방면,https://map.kakao.com/link/search/%EA%B0%80%EC%A0%95%EB%A6%AC%EC%A2%85%EC%A0%90%201500%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.76332,127.57735",,,,,,,
52,1525,250001794,창촌1리,Changchon 1(il)-ri,127.6471,37.78958,TAGO·카카오맵,남산면행복센터 방면,남산면행복센터 방면,https://map.kakao.com/link/search/%EC%B0%BD%EC%B4%8C1%EB%A6%AC%201525%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78958,127.6471",,,,,,,
53,1693,250001795,창촌1리,Changchon 1(il)-ri,127.64697,37.78944,TAGO·카카오맵,창촌3거리 방면,창촌3거리 방면,https://map.kakao.com/link/search/%EC%B0%BD%EC%B4%8C1%EB%A6%AC%201693%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78944,127.64697",,,,,,,
54,2458,250026731,가정리종점,Gajeong-ri Terminus,127.57751,37.76329,TAGO·카카오맵,가정리종점 방면,가정리종점 방면,https://map.kakao.com/link/search/%EA%B0%80%EC%A0%95%EB%A6%AC%EC%A2%85%EC%A0%90%202458%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.76329,127.57751",,,,,,,
55,2272,250026537,케이티앤지,KT,127.72745,37.86183,TAGO·카카오맵,남춘천역 방면,남춘천역 / 남춘천역2번출구 방면,https://map.kakao.com/link/search/%EC%BC%80%EC%9D%B4%ED%8B%B0%EC%95%A4%EC%A7%80%202272%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86183,127.72745",,,,있음,,,
56,2809,250027094,춘천자원,Chuncheon Resources,127.76397,37.8279,TAGO·카카오맵,사암4리 방면,사암4리 방면,https://map.kakao.com/link/search/%EC%B6%98%EC%B2%9C%EC%9E%90%EC%9B%90%202809%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8279,127.76397",,,,,,,
57,2810,250027095,춘천자원,Chuncheon Resources,127.76405,37.82823,TAGO·카카오맵,학곡리 방면,학곡리 방면,https://map.kakao.com/link/search/%EC%B6%98%EC%B2%9C%EC%9E%90%EC%9B%90%202810%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.82823,127.76405",,,,,,,
58,2094,250002117,소양강댐정상,Top of Soyanggang Dam,127.81268,37.9476,TAGO·카카오맵,소양강댐정상 방면,소양강댐정상 방면,https://map.kakao.com/link/search/%EC%86%8C%EC%96%91%EA%B0%95%EB%8C%90%EC%A0%95%EC%83%81%202094%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.9476,127.81268",,,,,,,
59,2630,250026905,강원대백록관,Kangwon National University Baekrok Hall,127.74135,37.86861,TAGO·카카오맵,강원대정문 방면,강원대정문 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EB%8C%80%EB%B0%B1%EB%A1%9D%EA%B4%80%202630%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86861,127.74135",,,,,,,
60,2631,250026906,강원대백록관,Kangwon National University Baekrok Hall,127.74149,37.86845,TAGO·카카오맵,강원대중앙도서관 방면,강원대중앙도서관 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EB%8C%80%EB%B0%B1%EB%A1%9D%EA%B4%80%202631%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86845,127.74149",,,,있음,,,
61,2507,265000700,장학해온채A,Janghak Haeonchae Apartment,127.75381,37.89828,카카오맵,장학17리회관 방면,장학17리회관 / 장학17리입구 방면,https://map.kakao.com/link/search/%EC%9E%A5%ED%95%99%ED%95%B4%EC%98%A8%EC%B1%84A%202507%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89828,127.75381",,,,,,,
