순번,설치 정류장명,위도,경도,정류장 번호,설치 단말기 종류,설치연월,음성사용여부,표출시간,외국어지원여부,데이터기준일자
231,발산1리,37.73123,127.6006,1949,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
232,사북면행복센터,38.02896,127.64114,2193,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
233,새마을고개,37.87146,127.7326,2151,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
234,남춘천역2번출구,37.8636,127.7248,2310,LCD(독립형),2013-07-01,사용,05:00 ~ 23:30,미사용,2025-11-14
235,부강연립앞,37.87869,127.71219,2359,LED(거치형),2023-02-20,사용,05:00 ~ 23:30,미사용,2025-11-14
236,청와A,37.88122,127.71365,1405,LED(거치형),2023-02-20,사용,05:00 ~ 23:30,미사용,2025-11-14
237,청구/동아A,37.87004,127.75432,1414,LCD(거치형),2013-07-01,사용,05:00 ~ 23:30,사용,2025-11-14
238,석사동행복센터,37.85921,127.74273,2120,LED(거치형),2023-02-20,사용,05:00 ~ 23:30,미사용,2025-11-14
239,강동농협장학지점,37.89177,127.75317,1487,LCD(거치형),2015-03-01,사용,05:00 ~ 23:30,사용,2025-11-14
240,봉의A,37.88768,127.74413,2207,LCD(거치형),2015-03-01,사용,05:00 ~ 23:30,사용,2025-11-14
241,석사교회,37.85961,127.74483,2124,LCD(거치형),2015-03-01,사용,05:00 ~ 23:30,사용,2025-11-14
242,농촌공사춘천지소,37.90973,127.73935,1934,LCD(거치형),2015-03-01,사용,05:00 ~ 23:30,사용,2025-11-14
243,e편한세상,37.88424,127.72609,2495,LCD(거치형),2015-03-01,사용,05:00 ~ 23:30,사용,2025-11-14
244,우두로입구,37.91352,127.72201,2195,LCD(거치형),2015-03-01,사용,05:00 ~ 23:30,사용,2025-11-14
245,한신휴플러스,37.88423,127.72592,2494,LCD(거치형),2015-07-29,사용,05:00 ~ 23:30,사용,2025-11-14
246,케이티앤지,37.86164,127.72784,2272,LCD(거치형),2015-07-29,사용,05:00 ~ 23:30,사용,2025-11-14
247,강원대학병원,37.87476,127.74313,1482,LCD(독립형),2015-07-29,사용,05:00 ~ 23:30,미사용,2025-11-14
248,성우오스타A,37.85614,127.75486,1450,LCD(거치형),2015-07-29,사용,05:00 ~ 23:30,사용,2025-11-14
249,칠전동사거리,37.84142,127.71448,1148,LCD(거치형),2015-07-30,사용,05:00 ~ 23:30,사용,2025-11-14
250,삼천동사거리,37.86906,127.70704,2166,LCD(거치형),2015-07-30,사용,05:00 ~ 23:30,사용,2025-11-14
251,상천초등학교,37.92989,127.7849,2154,LCD(거치형),2022-07-05,사용,05:00 ~ 23:30,사용,2025-11-14
252,강촌1리마을,37.81012,127.63638,1975,LCD(독립형),2015-07-30,사용,05:00 ~ 23:30,미사용,2025-11-14
253,학곡리종점,37.83486,127.7603,1091,LCD(거치형),2015-07-30,사용,05:00 ~ 23:30,사용,2025-11-14
254,국립춘천병원,37.77074,127.76431,1972,LCD(거치형),2015-07-30,사용,05:00 ~ 23:30,사용,2025-11-14
255,용산2리,37.96041,127.68148,1322,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
256,여우고개사거리,37.92228,127.73914,2281,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
257,창촌3거리,37.78727,127.6482,1523,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
258,포스코후문,37.88157,127.74696,1103,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
259,창촌3거리,37.78712,127.64813,1524,LCD(거치형),2017-06-04,사용,05:00 ~ 23:30,사용,2025-11-14
260,애니메이션박물관,37.89259,127.68997,1675,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
261,퇴계일성A,37.86612,127.72695,2291,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
262,케이티앤지,37.8615,127.7274,2318,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
263,산림조합강원본부,37.88699,127.75322,1003,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
264,강원도재활병원,37.90355,127.73827,1066,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
