관리번호,정류장명,lat,lng,한낮승차,미확인시설목록,로드뷰URL
250026892,천년나무A,37.91277,127.73747,204,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.91277,127.73747"
250026893,천년나무A,37.91296,127.73764,204,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.91296,127.73764"
250001386,교육대학교,37.85718,127.7471,198,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85718,127.7471"
250026768,e편한세상,37.8841,127.7266,194,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.8841,127.7266"
250026917,강원고앞,37.89519,127.75523,194,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.89519,127.75523"
250001071,가정진료소,37.73456,127.57581,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.73456,127.57581"
250001970,한강수력본부,37.96255,127.67899,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96255,127.67899"
250001994,오탄1리,38.0412,127.62759,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.0412,127.62759"
250001995,오탄1리,38.04115,127.62723,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.04115,127.62723"
250001999,오탄1리,38.04292,127.62181,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.04292,127.62181"
250026596,간척사거리,38.02793,127.81727,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.02793,127.81727"
263001765,간척사거리,38.02902,127.81727,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.02902,127.81727"
263001766,간척사거리,38.02854,127.81599,16,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.02854,127.81599"
250000005,강원지방경찰청,37.86253,127.75868,182,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86253,127.75868"
250000006,강원지방경찰청,37.86246,127.75841,182,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86246,127.75841"
265000721,중앙시장입구,37.87816,127.72459,180,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87816,127.72459"
