위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.91615,127.73935,정류장,충렬탑입구,강원특별자치도 춘천시 우두동 1-1,1,교통과,2026-06-01
37.91622,127.73914,정류장,충렬탑입구,강원특별자치도 춘천시 우두동 822,1,교통과,2026-06-01
37.94951,127.75408,정류장,월드온천,강원특별자치도 춘천시 산천리 310-13,1,교통과,2026-06-01
37.87608,127.72096,정류장,춘천초등학교,강원특별자치도 춘천시 중앙로3가 66-14,1,교통과,2026-06-01
37.87621,127.72084,정류장,춘천시보건소,강원특별자치도 춘천시 소양로4가  109-3,1,교통과,2026-06-01
37.87398,127.7181,정류장,춘천중학교정문,강원특별자치도 춘천시 근화동 710-13,1,교통과,2026-06-01
37.87487,127.71718,정류장,춘천중학교,강원특별자치도 춘천시 중앙로3가 719-8,1,교통과,2026-06-01
37.87527,127.71769,정류장,춘천중학교,강원특별자치도 춘천시 중앙로3가 709-3,1,교통과,2026-06-01
37.84021,127.75882,정류장,학곡2리,강원특별자치도 춘천시 학곡리 603-2,1,교통과,2026-06-01
37.87507,127.72986,정류장,현진에버빌3차,강원특별자치도 춘천시 효자1동 493,1,교통과,2026-06-01
37.88534,127.71792,정류장,춘천역환승센터,강원특별자치도 춘천시 근화동 143,1,교통과,2026-06-01
37.88164,127.73258,정류장,춘천시청별관,강원특별자치도 춘천시 교동 36,1,교통과,2026-06-01
37.85635,127.7548,정류장,성우오스타A,강원특별자치도 춘천시 거두리 1068,1,교통과,2026-06-01
37.85686,127.75944,정류장,거두리주공A,강원특별자치도 춘천시 거두리 1069,1,교통과,2026-06-01
37.77665,127.64391,정류장,창촌3리입구,강원특별자치도 춘천시 창촌리 산 40-2,1,교통과,2026-06-01
37.68338,127.64644,정류장,산수리논골,강원특별자치도 춘천시 산수리 470-13,1,교통과,2026-06-01
37.68636,127.64436,정류장,산수리논골,강원특별자치도 춘천시 산수리 470-11,1,교통과,2026-06-01
37.92304,127.6895,정류장,월송2리,강원특별자치도 춘천시 월송리 1011-4,1,교통과,2026-06-01
37.76066,127.7728,정류장,조양4리,강원특별자치도 춘천시 조양리 799-4,1,교통과,2026-06-01
38.05092,127.60286,정류장,대추나무골,강원특별자치도 춘천시 오탄리 632,1,교통과,2026-06-01
37.98846,127.70193,정류장,송암리,강원특별자치도 춘천시 고탄리 874,1,교통과,2026-06-01
37.95787,127.73048,정류장,지내보건소,강원특별자치도 춘천시 지내리 334-3,1,교통과,2026-06-01
37.8614,127.79021,정류장,거두리사거리,강원특별자치도 춘천시 거두리 299-5,1,교통과,2026-06-01
37.83104,127.76854,정류장,사암1리,강원특별자치도 춘천시 사암리 1293-1,1,교통과,2026-06-01
37.73887,127.62456,정류장,발산2리(치안센터),강원특별자치도 춘천시 발산리 246-2,1,교통과,2026-06-01
37.84328,127.73133,정류장,정족1리입구,강원특별자치도 춘천시 정족리 384-3,1,교통과,2026-06-01
37.86391,127.84825,정류장,(구)상걸초,강원특별자치도 춘천시 상걸리 348-1,1,교통과,2026-06-01
37.86617,127.83999,정류장,상걸교,강원특별자치도 춘천시 상걸리 601,1,교통과,2026-06-01
37.78508,127.65043,정류장,창촌1리,강원특별자치도 춘천시 창촌리 151-3,1,교통과,2026-06-01
37.75472,127.62234,정류장,후동1리,강원특별자치도 춘천시 후동리 254-4,1,교통과,2026-06-01
37.73592,127.69137,정류장,우러니입구,강원특별자치도 춘천시 광판리 777-1,1,교통과,2026-06-01
37.77349,127.6765,정류장,수동1리,강원특별자치도 춘천시 수동리 132-2,1,교통과,2026-06-01
37.98376,127.89647,정류장,천리터,강원특별자치도 춘천시 오항리 210-12,1,교통과,2026-06-01
38.03518,127.86793,정류장,추곡터널,강원특별자치도 춘천시 추곡리 898-1,1,교통과,2026-06-01
37.83402,127.59912,정류장,당림리,강원특별자치도 춘천시 안보리 산 6-1,1,교통과,2026-06-01
37.98016,127.69175,정류장,해피초원목장,강원특별자치도 춘천시 고탄리 산 50-23,1,교통과,2026-06-01
37.97477,127.598,정류장,눈썰매장입구,강원특별자치도 춘천시 지암리 619-13,1,교통과,2026-06-01
37.97932,127.60439,정류장,지암리,강원특별자치도 춘천시 지암리 418-4,1,교통과,2026-06-01
37.97671,127.62906,정류장,지암리,강원특별자치도 춘천시 지암리 68-20,1,교통과,2026-06-01
37.96041,127.68148,정류장,용산2리,강원특별자치도 춘천시 용산리 691,1,교통과,2026-06-01
37.96037,127.68184,정류장,용산2리,강원특별자치도 춘천시 용산리 686-3,1,교통과,2026-06-01
37.93913,127.7142,정류장,용산1리,강원특별자치도 춘천시 용산리 268-3,1,교통과,2026-06-01
37.9109,127.72266,정류장,사농현대A,강원특별자치도 춘천시 사농동 369-10,1,교통과,2026-06-01
37.83238,127.76319,정류장,학곡리,강원특별자치도 춘천시 학곡리 32-5,1,교통과,2026-06-01
37.84985,127.74413,정류장,뜨란채A,강원특별자치도 춘천시 퇴계동 1027,1,교통과,2026-06-01
37.85983,127.7311,정류장,퇴계우성A,강원특별자치도 춘천시 퇴계동 384-21,1,교통과,2026-06-01
37.75565,127.74044,정류장,군자3리,강원특별자치도 춘천시 군자리 792-6,1,교통과,2026-06-01
37.74318,127.8295,정류장,조양3리,강원특별자치도 춘천시 조양리 229-2,1,교통과,2026-06-01
37.78754,127.75197,정류장,전인고등학교,강원특별자치도 춘천시 원창리 923-21,1,교통과,2026-06-01
37.87617,127.77542,정류장,대형약국,강원특별자치도 춘천시 만천리 278-25,1,교통과,2026-06-01
37.92827,127.75154,정류장,한샘고후문,강원특별자치도 춘천시 율문리 318-6,1,교통과,2026-06-01
37.92539,127.75205,정류장,춘천한샘고등학교,강원특별자치도 춘천시 율문리 909-6,1,교통과,2026-06-01
37.92521,127.7511,정류장,춘천한샘고등학교,강원특별자치도 춘천시 율문리 293,1,교통과,2026-06-01
37.86465,127.75281,정류장,박물관후문,강원특별자치도 춘천시 석사동 95-3,1,교통과,2026-06-01
37.86365,127.75129,정류장,춘천박물관,강원특별자치도 춘천시 석사동 758,1,교통과,2026-06-01
37.97401,127.66642,정류장,춘천댐종점,강원특별자치도 춘천시 오월리 산 12-17,1,교통과,2026-06-01
