정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1163,250001356,현진에버빌3차,Hyunjin Evervill 3(sam)-cha Apartment,127.72974,37.8749,2026-03-26
1164,250001357,춘천역,Chuncheon Station,127.71803,37.88529,2026-03-26
1165,250001358,춘천시청별관,Chuncheon City Hall Annex,127.73269,37.88171,2026-03-26
1166,250001359,춘천시청별관,Chuncheon City Hall Annex,127.73264,37.88151,2026-03-26
1167,250001360,한샘고후문,Hansaem High School Rear Entrance,127.75179,37.92757,2026-03-26
1168,250000003,성우오스타A,Sungwoo Ostar Apartment,127.75505,37.85641,2026-03-26
1169,250000004,거두리주공A,Geodu-ri Jugong Apartment,127.75863,37.85665,2026-03-26
1170,250000005,강원지방경찰청,Gangwon Provincial Police Agency,127.75868,37.86253,2026-03-26
1171,250000006,강원지방경찰청,Gangwon Provincial Police Agency,127.75841,37.86246,2026-03-26
1172,250000010,지내1리(옥광산입구),Jinae 1(il)-ri (Jade Mine Entrance),127.78246,37.91645,2026-03-26
1173,250000011,창촌3리입구,Chnagchon 3(sam)-ri Entrance,127.64396,37.77668,2026-03-26
1174,250000138,산수리논골,Sansu-ri Nongol,127.64642,37.68337,2026-03-26
1175,250000139,산수리논골,Sansu-ri Nongol,127.64438,37.68637,2026-03-26
1176,265000682,오탄리,Otan ri,127.61606,38.0471,2026-03-26
1177,250000993,서천리입구,Seocheon-ri Entrance,127.55189,37.84082,2026-03-26
1178,250000994,방동2리입구(보건소),Bangdong 2(i)-ri Entrance,127.68068,37.89606,2026-03-26
1179,250000995,월송1리,Wolsong 1(il)-ri,127.68748,37.93028,2026-03-26
1180,250000996,월송2리,Wolsong 2(i)-ri,127.6896,37.92306,2026-03-26
1181,250000997,신매1리,Sinmae 1(il)-ri,127.7026,37.93604,2026-03-26
1182,250000998,삼악산,Samaksan Mt,127.67446,37.83737,2026-03-26
1183,250000999,과수원마을입구,Gwasuwon Village Entrance,127.70399,37.91117,2026-03-26
1184,250001000,(구)싸이클경기장,(Former) Cycle Stadium,127.69242,37.86912,2026-03-26
1185,265000717,용산3리1반,Yongsan 3(sam)-ri 1(il)-ban,127.71592,37.96004,2026-03-26
1186,265000718,용산3리1반,Yongsan 3(sam)-ri 1(il)-ban,127.71585,37.96012,2026-03-26
1187,250001003,수동1리,Sudong 1(il)-ri,127.67307,37.77397,2026-03-26
1188,250001004,당림삼거리,Dangnim Samgeori,127.61,37.84118,2026-03-26
1189,250001005,강촌리,Gangchon-ri,127.62151,37.80298,2026-03-26
1190,250001006,봉명2리,Bongmyeong 2(i)-ri,127.81122,37.7733,2026-03-26
1191,265000687,신북발산,Sinbukbalsan,127.75098,37.95648,2026-03-26
1192,250001013,동산면행복센터,Dongsan-myeon Community Service Center,127.79579,37.75379,2026-03-26
1193,265000722,KT,KT,127.72382,37.88231,2026-03-26
1194,250001015,조양1리,Joyang 1(il)-ri,127.81157,37.75621,2026-03-26
1195,250001016,부사원고개,Busawon Pass,127.82282,37.75151,2026-03-26
1196,250001017,조양3리,Joyang 3(sam)-ri,127.82939,37.74314,2026-03-26
1197,250001018,조양4리,Joyang 4(sa)-ri,127.77278,37.76071,2026-03-26
1198,250001019,새술막,Saesulmak,127.75699,37.78604,2026-03-26
1199,250001020,대추나무골,Daechunamugol Village,127.60312,38.05087,2026-03-26
1200,250001021,고탄입구,Gotan Entrance,127.67469,37.96616,2026-03-26
1201,250001022,눈썰매장입구,Sledding Slope Entrance,127.59894,37.97498,2026-03-26
1202,250001023,지암리(물레방아민박),Jiam-ri (Mullebanga Lodging),127.60207,37.97769,2026-03-26
1203,250001024,지암리(4),Jiam-ri (4),127.60395,37.97923,2026-03-26
1204,250001025,지암리(3),Jiam-ri (3),127.61624,37.98281,2026-03-26
1205,250001026,가족쉼터,Gajok Swimteo,127.62898,37.97693,2026-03-26
1206,250001027,오월교입구,Owolgyo Entrance,127.64445,37.98349,2026-03-26
1207,250001028,고성2리선돌입구,Goseong 2(i)-ri Menhir Entrance,127.72474,37.99277,2026-03-26
1208,250001029,고성2리,Goseong 2(i)-ri,127.7364,37.99943,2026-03-26
1209,250001030,고성2리용화산,Goseong 2(i)-ri Yonghwasan,127.73535,37.99468,2026-03-26
1210,250001031,고성2리(초설),Goseong 2(i)-ri (Choseol),127.73368,37.9921,2026-03-26
1211,250001032,고성2리1반,Goseong 2(i)-ri 1(il)-ban,127.73044,37.99235,2026-03-26
1212,250001033,고탄리,Gotan-ri,127.71362,37.98889,2026-03-26
1213,250001034,송암리,Songam-ri,127.70194,37.98843,2026-03-26
1214,250001035,송암리마을회관,Songam-ri Village Hall,127.68645,37.99544,2026-03-26
1215,250001036,송암리(인삼밭),Songam-ri (Ginseng Field),127.68982,38.00113,2026-03-26
1216,250001037,솔바우농원,Solbau Farm,127.68335,37.99578,2026-03-26
1217,250001038,송암리(밤나무),Songam-ri (Chestnut Tree),127.67724,37.99689,2026-03-26
1218,250001039,인람리(1),Illam-ri (1),127.67159,37.99589,2026-03-26
1219,250001040,인람리(2),Illam-ri (2),127.66545,37.99543,2026-03-26
1220,250001041,솔바우농원,Solbau Farm,127.68348,37.99585,2026-03-26
1221,250001042,송암리(밤나무),Songam-ri (Chestnut Tree),127.67718,37.99699,2026-03-26
1222,250001043,인람리(1),Illam-ri (1),127.67034,37.9954,2026-03-26
1223,250001044,인람리(2),Illam-ri (2),127.66547,37.99552,2026-03-26
1224,250001045,인람리(하우스),Illam-ri (House),127.65946,37.99083,2026-03-26
1225,250001046,송암삼거리,Songam Samgeori,127.69088,37.99298,2026-03-26
1226,250001047,해피초원목장,Happy Meadow Ranch,127.69206,37.98011,2026-03-26
1227,250001048,올미,Olmi Village,127.73686,37.92801,2026-03-26
1228,250001049,올미,Olmi Village,127.73679,37.92786,2026-03-26
1229,250001050,국군병원사거리,Armed Foces Hospital Sageori,127.72776,37.93677,2026-03-26
1230,265000689,지내2리마을회관,Jinae 2(i)-ri Village Hall,127.78834,37.9172,2026-03-26
1231,265000747,지내보건진료소,Jinae Community Health Center,127.73052,37.95809,2026-03-26
1232,265000760,팔미3교,Palmi 3(sam)-gyo,127.70164,37.82047,2026-03-26
1233,265000759,팔미3교,Palmi 3(sam)-gyo,127.70205,37.82059,2026-03-26
1234,250001055,신촌리종점,Sinchon-ri Terminus,127.78015,37.85399,2026-03-26
1235,250001056,고은리입구,Goeun-ri Entrance,127.77437,37.84904,2026-03-26
1236,265000711,사암1리,Saam 1(il)-ri,127.76847,37.83094,2026-03-26
1237,250001058,천리터,Cheonriteo,127.89646,37.98375,2026-03-26
1238,250001059,추곡1리1반,Chugok 1(il)-ri 1(il)-ban,127.88086,38.01351,2026-03-26
1239,250001060,추곡(낚시터),Chugok (Fishing Area),127.87754,38.03312,2026-03-26
1240,250001061,추곡터널,Chugok Tunnel,127.86879,38.03499,2026-03-26
1241,250001062,발산1리,Balsan 1(il)-ri,127.74751,37.95109,2026-03-26
1242,250001065,가정1리마을회관,Gajeong 1(il)-ri Village Hall,127.57263,37.7412,2026-03-26
1243,250001066,가정중학교,Gajeong Middle School,127.57286,37.73994,2026-03-26
1244,250001067,후동리,Hudong-ri,127.61985,37.75092,2026-03-26
1245,250001068,후동리,Hudong-ri,127.62391,37.75752,2026-03-26
1246,250001069,소주고개쉼터,Soju Pass Rest Area,127.62671,37.76037,2026-03-26
1247,265000704,발산2리(치안센터),Balsan 2(i)-ri (Police Patrol,127.62342,37.73847,2026-03-26
1248,250001071,가정진료소,Gajeong Community Health Center,127.57581,37.73456,2026-03-26
1249,250001072,발산2리(치안센터),Balsan 2(i)-ri (Police Patrol,127.62475,37.73907,2026-03-26
1250,265000719,용산3리5반,Yongsan 3(sam)-ri 5(o)-ban,127.71318,37.95482,2026-03-26
1251,265000720,용산3리5반,Yongsan 3(sam)-ri 5(o)-ban,127.71308,37.95488,2026-03-26
1252,250001075,탑골,Topgol,127.70917,37.75161,2026-03-26
1253,250001077,정족1리입구,Jeongjok 1(il)-ri Entrance,127.73137,37.84325,2026-03-26
1254,250001078,정족1리,Jeongjok 1(il)-ri,127.73106,37.8363,2026-03-26
1255,250001079,증2리2반,Jeung 2(i)-ri 2(i)-ban,127.7093,37.80904,2026-03-26
1256,250001080,금병초교,Geumbyeong Elementary School,127.70984,37.81442,2026-03-26
1257,265000763,팔미교,Palmi gyo,127.70401,37.81567,2026-03-26
1258,250001082,정족1리,Jeongjok 1(il)-ri,127.73079,37.83637,2026-03-26
1259,250027151,정족1리입구,Jeongjok 1(il)-ri Entrance,127.73103,37.84277,2026-03-26
1260,250001084,조양2리,Joyang 2(i)-ri,127.79595,37.74589,2026-03-26
1261,250001085,조양2리,Joyang 2(i)-ri,127.7961,37.7459,2026-03-26
1262,250001086,조양2리,Joyang 2(i)-ri,127.79634,37.74045,2026-03-26
1263,250001087,조양2리,Joyang 2(i)-ri,127.79651,37.74004,2026-03-26
1264,250001089,(구)상걸초,(Former) Sanggeol Elementary School,127.84817,37.86381,2026-03-26
1265,250001090,(구)상걸초,(Former) Sanggeol Elementary School,127.84832,37.86389,2026-03-26
1266,250001091,상걸교,Sanggeolgyo,127.84006,37.86619,2026-03-26
1267,250001092,상걸교,Sanggeolgyo,127.84026,37.86631,2026-03-26
1268,265000688,신북발산,Sinbukbalsan,127.75102,37.95654,2026-03-26
